Region,Year,Attribute,Value
Middle East,2015,Infant_deaths,11.1
Middle East,2015,Under_five_deaths,13
Middle East,2015,Adult_mortality,105.824
European Union,2015,Infant_deaths,2.7
European Union,2015,Under_five_deaths,3.3
European Union,2015,Adult_mortality,57.9025
Asia,2007,Infant_deaths,51.5
Asia,2007,Under_five_deaths,67.9
Asia,2007,Adult_mortality,201.0765
South America,2006,Infant_deaths,32.8
South America,2006,Under_five_deaths,40.5
South America,2006,Adult_mortality,222.1965
Middle East,2012,Infant_deaths,3.4
Middle East,2012,Under_five_deaths,4.3
Middle East,2012,Adult_mortality,57.951
Central America and Caribbean,2006,Infant_deaths,9.8
Central America and Caribbean,2006,Under_five_deaths,11.2
Central America and Caribbean,2006,Adult_mortality,95.22
Rest of Europe,2015,Infant_deaths,6.6
Rest of Europe,2015,Under_five_deaths,8.2
Rest of Europe,2015,Adult_mortality,223
European Union,2000,Infant_deaths,8.7
European Union,2000,Under_five_deaths,10.1
European Union,2000,Adult_mortality,192.969
Middle East,2001,Infant_deaths,22
Middle East,2001,Under_five_deaths,26.1
Middle East,2001,Adult_mortality,129.764
Rest of Europe,2008,Infant_deaths,15.3
Rest of Europe,2008,Under_five_deaths,17.8
Rest of Europe,2008,Adult_mortality,217.857
South America,2012,Infant_deaths,15.4
South America,2012,Under_five_deaths,17.2
South America,2012,Adult_mortality,150.2245
European Union,2007,Infant_deaths,6
European Union,2007,Under_five_deaths,6.8
European Union,2007,Adult_mortality,58.0185
Central America and Caribbean,2011,Infant_deaths,13
Central America and Caribbean,2011,Under_five_deaths,15.2
Central America and Caribbean,2011,Adult_mortality,165.538
Rest of Europe,2002,Infant_deaths,14.3
Rest of Europe,2002,Under_five_deaths,16.6
Rest of Europe,2002,Adult_mortality,261.6095
Rest of Europe,2006,Infant_deaths,4.2
Rest of Europe,2006,Under_five_deaths,4.9
Rest of Europe,2006,Adult_mortality,63.2435
Rest of Europe,2001,Infant_deaths,3.8
Rest of Europe,2001,Under_five_deaths,4.7
Rest of Europe,2001,Adult_mortality,80.4955
European Union,2013,Infant_deaths,2.2
European Union,2013,Under_five_deaths,2.7
European Union,2013,Adult_mortality,76.567
Africa,2007,Infant_deaths,66.8
Africa,2007,Under_five_deaths,91.9
Africa,2007,Adult_mortality,255.8815
Asia,2005,Infant_deaths,2.8
Asia,2005,Under_five_deaths,3.7
Asia,2005,Adult_mortality,68.768
Africa,2012,Infant_deaths,39.1
Africa,2012,Under_five_deaths,57.1
Africa,2012,Adult_mortality,256.88
Africa,2011,Infant_deaths,45.2
Africa,2011,Under_five_deaths,65.9
Africa,2011,Adult_mortality,257.0865
Asia,2001,Infant_deaths,28.2
Asia,2001,Under_five_deaths,36.9
Asia,2001,Adult_mortality,214.2685
Africa,2003,Infant_deaths,64.6
Africa,2003,Under_five_deaths,100.2
Africa,2003,Adult_mortality,406.702
Africa,2011,Infant_deaths,45.8
Africa,2011,Under_five_deaths,67
