Country,Attribute,Value
Afghanistan,Population,38000000
Afghanistan,Urban_population,9797273
Afghanistan,Population: Labor force participation (%),0.49
Albania,Population,2850000
Albania,Urban_population,1747593
Albania,Population: Labor force participation (%),0.56
Algeria,Population,43100000
Algeria,Urban_population,31510100
Algeria,Population: Labor force participation (%),0.41
Andorra,Population,77100
Andorra,Urban_population,67873
Angola,Population,31800000
Angola,Urban_population,21061025
Angola,Population: Labor force participation (%),0.78
Antigua and Barbuda,Population,97100
Antigua and Barbuda,Urban_population,23800
Argentina,Population,44900000
Argentina,Urban_population,41339571
Argentina,Population: Labor force participation (%),0.61
Armenia,Population,2960000
Armenia,Urban_population,1869848
Armenia,Population: Labor force participation (%),0.56
Australia,Population,25800000
Australia,Urban_population,21844756
Australia,Population: Labor force participation (%),0.66
Austria,Population,8880000
Austria,Urban_population,5194416
Austria,Population: Labor force participation (%),0.61
Azerbaijan,Population,10000000
Azerbaijan,Urban_population,5616165
Azerbaijan,Population: Labor force participation (%),0.67
The Bahamas,Population,389000
The Bahamas,Urban_population,323784
The Bahamas,Population: Labor force participation (%),0.75
Bahrain,Population,1500000
Bahrain,Urban_population,1467109
Bahrain,Population: Labor force participation (%),0.73
Bangladesh,Population,167000000
Bangladesh,Urban_population,60987417
Bangladesh,Population: Labor force participation (%),0.59
Barbados,Population,287000
Barbados,Urban_population,89431
Barbados,Population: Labor force participation (%),0.65
Belarus,Population,9470000
Belarus,Urban_population,7482982
Belarus,Population: Labor force participation (%),0.64
Belgium,Population,11500000
Belgium,Urban_population,11259082
Belgium,Population: Labor force participation (%),0.54
Belize,Population,390000
Belize,Urban_population,179039
Belize,Population: Labor force participation (%),0.65
Benin,Population,11800000
Benin,Urban_population,5648149
Benin,Population: Labor force participation (%),0.71
Bhutan,Population,727000
Bhutan,Urban_population,317538
Bhutan,Population: Labor force participation (%),0.67
Bolivia,Population,11500000
Bolivia,Urban_population,8033035
Bolivia,Population: Labor force participation (%),0.72
Bosnia and Herzegovina,Population,3300000
Bosnia and Herzegovina,Urban_population,1605144
Bosnia and Herzegovina,Population: Labor force participation (%),0.46
Botswana,Population,2350000
Botswana,Urban_population,1616550
Botswana,Population: Labor force participation (%),0.71
Brazil,Population,213000000
Brazil,Urban_population,183241641
Brazil,Population: Labor force participation (%),0.64
Brunei,Population,433000
Brunei,Urban_population,337711
Brunei,Population: Labor force participation (%),0.65
Bulgaria,Population,6980000
Bulgaria,Urban_population,5256027
Bulgaria,Population: Labor force participation (%),0.55
Burkina Faso,Population,20300000
Burkina Faso,Urban_population,6092349
Burkina Faso,Population: Labor force participation (%),0.66
Burundi,Population,11500000
Burundi,Urban_population,1541177
Burundi,Population: Labor force participation (%),0.79
Ivory Coast,Population,25700000
Ivory Coast,Urban_population,13176900
Ivory Coast,Population: Labor force participation (%),0.57
Cape Verde,Population,484000
Cape Verde,Urban_population,364029
Cape Verde,Population: Labor force participation (%),0.61
Cambodia,Population,16500000
Cambodia,Urban_population,3924621
Cambodia,Population: Labor force participation (%),0.82
Cameroon,Population,25900000
Cameroon,Urban_population,14741256
Cameroon,Population: Labor force participation (%),0.76
Canada,Population,37000000
Canada,Urban_population,30628482
Canada,Population: Labor force participation (%),0.65
Central African Rep.,Population,4750000
Central African Rep.,Urban_population,1982064
Central African Rep.,Population: Labor force participation (%),0.72
Chad,Population,15900000
Chad,Urban_population,3712273
Chad,Population: Labor force participation (%),0.71
Chile,Population,19000000
Chile,Urban_population,16610135
Chile,Population: Labor force participation (%),0.63
China,Population,1400000000
China,Urban_population,842933962
China,Population: Labor force participation (%),0.68
Colombia,Population,50300000
Colombia,Urban_population,40827302
Colombia,Population: Labor force participation (%),0.69
Comoros,Population,851000
Comoros,Urban_population,248152
Comoros,Population: Labor force participation (%),0.43
Democratic Republic of the Congo,Population,5380000
Democratic Republic of the Congo,Urban_population,3625010
Democratic Republic of the Congo,Population: Labor force participation (%),0.69
Costa Rica,Population,5050000
Costa Rica,Urban_population,4041885
Costa Rica,Population: Labor force participation (%),0.62
Croatia,Population,4070000
Croatia,Urban_population,2328318
Croatia,Population: Labor force participation (%),0.51
Cuba,Population,11300000
Cuba,Urban_population,8739135
Cuba,Population: Labor force participation (%),0.54
Cyprus,Population,1200000
Cyprus,Urban_population,800708
Cyprus,Population: Labor force participation (%),0.63
Czech Republic,Population,10700000
Czech Republic,Urban_population,7887156
Czech Republic,Population: Labor force participation (%),0.61
Dem. Rep. Congo,Population,86800000
Dem. Rep. Congo,Urban_population,39095679
Dem. Rep. Congo,Population: Labor force participation (%),0.64
Denmark,Population,5820000
Denmark,Urban_population,5119978
Denmark,Population: Labor force participation (%),0.62
Djibouti,Population,974000
Djibouti,Urban_population,758549
Djibouti,Population: Labor force participation (%),0.6
Dominican Rep.,Population,71800
Dominican Rep.,Urban_population,50830
Congo,Population,10700000
Congo,Urban_population,8787475
Congo,Population: Labor force participation (%),0.64
Ecuador,Population,17400000
Ecuador,Urban_population,11116711
Ecuador,Population: Labor force participation (%),0.68
Egypt,Population,100000000
Egypt,Urban_population,42895824
Egypt,Population: Labor force participation (%),0.46
El Salvador,Population,6450000
El Salvador,Urban_population,4694702
El Salvador,Population: Labor force participation (%),0.59
Equatorial Guinea,Population,1360000
Equatorial Guinea,Urban_population,984812
Equatorial Guinea,Population: Labor force participation (%),0.62
Eritrea,Population,6330000
